Date,US_dollar,Euro,Japanese_yen,Vietnamese_dong,Korean_won
12/29/1978,226,137.1,#N/A,#N/A,#N/A
1/1/1979,226,137.1,#N/A,#N/A,#N/A
1/2/1979,226.8,137.3,"43,164.90",#N/A,"107,470.00"
1/3/1979,218.6,134,"43,717.90",#N/A,"108,027.40"
1/4/1979,223.2,136.8,"43,674.90",#N/A,"108,602.50"
1/5/1979,225.5,138.4,"44,582.50",#N/A,"110,510.40"
1/8/1979,223.1,136.4,"44,436.20",#N/A,"110,356.30"
1/9/1979,224,137.3,"44,045.60",#N/A,"109,248.40"
1/10/1979,220.7,135.5,"43,366.40",#N/A,"108,108.30"
1/11/1979,220.7,135.9,"43,770.60",#N/A,"108,771.70"
1/12/1979,217.6,134.1,"42,837.10",#N/A,"106,856.60"
1/15/1979,216.9,133.8,"42,795.30",#N/A,"106,819.80"
1/16/1979,220.7,135.6,"43,225.90",#N/A,"107,689.80"
1/17/1979,227.3,139.2,"44,349.70",#N/A,"110,419.80"
1/18/1979,231.8,141.7,"44,823.40",#N/A,"111,599.20"
1/19/1979,230.6,141.1,"46,908.80",#N/A,"116,335.50"
1/22/1979,235,144,"46,387.40",#N/A,"115,493.30"
1/23/1979,230,141.1,"45,633.10",#N/A,"113,615.30"
1/24/1979,236.1,144.7,"46,372.40",#N/A,"115,456.00"
1/25/1979,233.9,144,"46,890.30",#N/A,"116,157.90"
1/26/1979,235.5,144.6,"46,801.30",#N/A,"115,646.50"
1/29/1979,235.2,145.3,"46,917.30",#N/A,"115,498.50"
1/30/1979,233.5,144.1,"46,907.20",#N/A,"115,185.50"
1/31/1979,233.7,144.8,"45,160.30",#N/A,"108,235.80"
2/1/1979,229.4,142.9,"47,160.50",#N/A,"113,310.70"
2/2/1979,230.3,143.5,"46,328.30",#N/A,"112,148.30"
2/5/1979,243.1,150.3,"47,766.00",#N/A,"115,919.10"
2/6/1979,244.5,150.8,"48,317.70",#N/A,"117,405.40"
2/7/1979,251.6,153.7,"48,835.70",#N/A,"119,415.10"
2/8/1979,250.5,153.5,"50,293.30",#N/A,"122,359.80"
2/9/1979,246.8,151.3,"48,548.60",#N/A,"117,670.30"
2/12/1979,244.3,150,"49,820.40",#N/A,"120,300.10"
2/13/1979,240.6,148.1,"48,714.80",#N/A,"117,630.50"
2/14/1979,240.7,148.3,"47,638.50",#N/A,"114,459.40"
2/15/1979,247.8,152.4,"49,146.70",#N/A,"118,083.00"
2/16/1979,247.1,152.2,"49,351.90",#N/A,"118,576.00"
2/19/1979,248.1,152.8,"50,094.50",#N/A,"120,360.20"
2/20/1979,247,152.2,"49,921.70",#N/A,"119,499.20"
2/21/1979,250.8,154.6,"50,398.60",#N/A,"119,897.90"
2/22/1979,252.4,155.4,"50,607.40",#N/A,"120,691.80"
2/23/1979,251,154.4,"50,405.40",#N/A,"120,061.90"
2/26/1979,248.6,152.7,"50,592.60",#N/A,"119,622.70"
2/27/1979,247.9,152.5,"50,111.40",#N/A,"118,340.20"
2/28/1979,251.3,154.6,"50,209.10",#N/A,"119,929.30"
3/1/1979,248.8,153.3,"50,821.00",#N/A,"120,655.20"
3/2/1979,248,152.8,"50,920.80",#N/A,"120,454.20"
3/5/1979,238.2,147,"49,760.50",#N/A,"117,567.50"
3/6/1979,239.8,147.9,"48,982.70",#N/A,"115,729.60"
3/7/1979,242.3,149.1,"49,423.00",#N/A,"116,489.00"
3/8/1979,239.2,147.1,"48,791.80",#N/A,"114,450.40"
3/9/1979,241,148.4,"49,315.20",#N/A,"115,539.80"
3/12/1979,240,148,"49,652.40",#N/A,"115,638.20"
3/13/1979,239.1,147.8,"50,063.30",#N/A,"114,954.90"
3/14/1979,239.5,147.8,"49,758.40",#N/A,"115,336.30"
3/15/1979,240.1,148.2,"49,673.70",#N/A,"115,344.90"
3/16/1979,244,150.8,"49,687.00",#N/A,"115,512.70"
3/19/1979,242.3,149.7,"50,584.70",#N/A,"118,090.20"
3/20/1979,242.1,149.4,"50,126.50",#N/A,"116,603.60"
3/21/1979,239.9,148.3,"49,778.10",#N/A,"115,793.20"
3/22/1979,242.9,149.9,"49,959.60",#N/A,"116,979.60"
3/23/1979,242.5,149.7,"49,816.20",#N/A,"116,365.50"
3/26/1979,245.3,151,"50,353.10",#N/A,"116,508.10"
3/27/1979,244.4,150.7,"51,005.20",#N/A,"117,461.90"
3/28/1979,244.4,150.7,"50,684.10",#N/A,"116,448.70"
3/29/1979,241.5,149.1,"50,335.80",#N/A,"115,108.30"
3/30/1979,240.1,148,"50,274.30",#N/A,"116,123.60"
4/2/1979,239.7,148.5,"50,844.10",#N/A,"116,233.10"
4/3/1979,240,148.8,"51,208.10",#N/A,"116,269.00"
4/4/1979,239.8,148.5,"51,481.10",#N/A,"116,164.30"
4/5/1979,240.7,149.1,"51,850.40",#N/A,"116,082.20"
4/6/1979,239.8,148.5,"51,488.40",#N/A,"115,078.70"
4/9/1979,240.2,149.9,"51,461.30",#N/A,"114,762.10"
4/10/1979,239.8,149.3,"50,895.10",#N/A,"114,134.80"
4/11/1979,238.4,148.3,"50,867.50",#N/A,"114,715.20"
4/12/1979,234,145.9,"50,311.20",#N/A,"112,447.70"
4/13/1979,234,145.9,"50,311.20",#N/A,"112,447.70"
4/16/1979,234,145.9,"50,311.20",#N/A,"112,447.70"
4/17/1979,231.9,144.8,"50,326.70",#N/A,"111,271.50"
4/18/1979,233.2,145.4,"50,551.00",#N/A,"113,268.10"
4/19/1979,240.9,149.9,"52,131.70",#N/A,"116,127.60"
4/20/1979,236.4,147.7,"51,974.40",#N/A,"115,264.50"
4/23/1979,236.9,147.8,"51,665.50",#N/A,"114,579.40"
4/24/1979,239.7,149.3,"52,353.10",#N/A,"116,233.10"
4/25/1979,241.8,150.4,"52,722.50",#N/A,"118,498.20"
4/26/1979,242.2,150.7,"52,836.40",#N/A,"118,754.20"
4/27/1979,243.7,151.2,"53,323.20",#N/A,"118,255.70"
4/30/1979,245.3,152.8,"54,144.60",#N/A,"117,423.30"
5/1/1979,247.3,152.8,"54,994.60",#N/A,"119,266.60"
5/2/1979,246.3,153.2,"55,508.90",#N/A,"118,765.70"
5/3/1979,246.5,153.3,"55,244.10",#N/A,"117,819.50"
5/4/1979,248.5,154.5,"54,691.30",#N/A,"118,673.50"
5/7/1979,248.5,154.5,"54,691.30",#N/A,"118,673.50"
5/8/1979,249,154.8,"56,574.90",#N/A,"120,528.70"
5/9/1979,248,154.1,"52,685.40",#N/A,"118,987.20"
5/10/1979,252.3,157.1,"53,975.20",#N/A,"122,316.10"
5/11/1979,251.5,156.7,"54,147.00",#N/A,"122,705.40"
5/14/1979,251,156.4,"53,537.50",#N/A,"122,158.00"
5/15/1979,255.5,159.6,"54,229.80",#N/A,"122,336.40"
5/16/1979,256.5,160.1,"54,923.00",#N/A,"123,759.90"
5/17/1979,256.8,160.7,"55,795.90",#N/A,"124,739.10"
5/18/1979,256.4,161.1,"56,328.20",#N/A,"125,226.40"
5/21/1979,262,164.9,"57,123.70",#N/A,"127,208.00"
5/22/1979,265.4,166.8,"58,180.60",#N/A,"129,128.60"
5/23/1979,264.2,165.9,"57,750.80",#N/A,"127,535.20"
5/24/1979,263.8,165.4,"57,519.30",#N/A,"127,589.70"
5/25/1979,270.6,170,"59,393.00",#N/A,"131,161.70"
5/28/1979,270.6,170,"59,393.00",#N/A,"131,161.70"
5/29/1979,273.8,172.2,"61,318.30",#N/A,"133,781.90"
5/30/1979,270.3,169.7,"60,036.90",#N/A,"131,925.50"
5/31/1979,274.6,172,"61,057.10",#N/A,"133,889.60"
6/1/1979,275.1,172.7,"61,222.20",#N/A,"133,374.10"
6/4/1979,272.9,171,"60,143.80",#N/A,"131,670.30"
6/5/1979,274.8,172.3,"60,913.30",#N/A,"132,556.70"
6/6/1979,280,175.7,"61,851.50",#N/A,"135,334.80"
6/7/1979,276.1,173.2,"61,289.20",#N/A,"135,213.90"
6/8/1979,280,175.5,"60,878.70",#N/A,"134,456.80"
6/11/1979,282.4,177,"61,768.20",#N/A,"136,496.60"
6/12/1979,277.8,174,"61,274.00",#N/A,"133,341.80"
6/13/1979,276.6,173.1,"60,790.60",#N/A,"131,218.90"
6/14/1979,279,174.5,"61,359.20",#N/A,"133,020.50"
6/15/1979,280,174.1,"61,190.10",#N/A,"132,582.10"
6/18/1979,278,172.8,"61,551.70",#N/A,"132,933.50"
6/19/1979,280.3,173,"61,040.10",#N/A,"131,473.70"
6/20/1979,281.4,173.1,"61,423.70",#N/A,"131,591.30"
6/21/1979,282.3,173.5,"61,430.40",#N/A,"131,114.10"
6/22/1979,283.5,173.7,"60,816.20",#N/A,"131,629.30"
6/25/1979,283.9,172.9,"60,879.60",#N/A,"131,766.60"
6/26/1979,281.5,172.2,"60,781.40",#N/A,"130,987.10"
6/27/1979,281.8,172.1,"60,768.30",#N/A,"130,326.70"
6/28/1979,275.9,168.4,"60,922.40",#N/A,"129,683.70"
6/29/1979,277.5,169,"60,161.40",#N/A,"133,065.60"
7/2/1979,282.5,172.3,"61,572.10",#N/A,"135,330.20"
7/3/1979,281.4,171.4,"61,559.80",#N/A,"134,248.90"
7/4/1979,283.5,172.1,"61,420.90",#N/A,"133,599.00"
7/5/1979,288.3,174.7,"62,193.30",#N/A,"134,929.50"
7/6/1979,290.3,176.5,"63,156.60",#N/A,"137,161.00"
7/9/1979,287.9,175.5,"63,193.00",#N/A,"138,313.40"
7/10/1979,290.5,176.6,"63,110.60",#N/A,"136,990.30"
7/11/1979,290.3,175.8,"63,196.60",#N/A,"136,611.80"
7/12/1979,290.8,176.1,"63,164.40",#N/A,"136,965.50"
7/13/1979,287.5,174.1,"62,730.70",#N/A,"135,884.70"
7/16/1979,292.8,176.9,"63,167.00",#N/A,"136,407.40"
7/17/1979,296.3,178.2,"64,137.30",#N/A,"137,022.50"
7/18/1979,302.2,181.1,"64,895.20",#N/A,"139,995.30"
7/19/1979,299.2,179.5,"64,755.70",#N/A,"137,295.60"
7/20/1979,298.8,180.5,"64,874.20",#N/A,"137,825.40"
7/23/1979,304.9,183.3,"65,495.30",#N/A,"138,444.30"
7/24/1979,305.3,183.3,"65,716.20",#N/A,"138,354.00"
7/25/1979,303.4,182.7,"65,194.30",#N/A,"136,980.30"
